"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009
"0600006","Ross Valley Elementary School District, California","ACSSF","ca","950","00","0043242",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00006",,,,,,,,,"95000US0600006","Ross Valley Elementary School District",,,,9610,6312,5095,1217,489,728,3298,1176,2122
"0600012","Twin Ridges Elementary School District, California","ACSSF","ca","950","00","0043243",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00012",,,,,,,,,"95000US0600012","Twin Ridges Elementary School District",,,,896,495,306,189,62,127,401,210,191
"0601420","Fortuna Elementary School District, California","ACSSF","ca","950","00","0043244",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01420",,,,,,,,,"95000US0601420","Fortuna Elementary School District",,,,5627,3628,2448,1180,406,774,1999,869,1130
"0601427","Penn Valley Union Elementary School District, California","ACSSF","ca","950","00","0043245",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01427",,,,,,,,,"95000US0601427","Penn Valley Union Elementary School District",,,,4824,3297,2829,468,117,351,1527,732,795
"0601680","Ackerman Elementary School District, California","ACSSF","ca","950","00","0043246",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01680",,,,,,,,,"95000US0601680","Ackerman Elementary School District",,,,1400,963,737,226,82,144,437,193,244
"0601710","Adelanto Elementary School District, California","ACSSF","ca","950","00","0043247",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01710",,,,,,,,,"95000US0601710","Adelanto Elementary School District",,,,13664,11539,7136,4403,1115,3288,2125,1058,1067
"0601890","Alexander Valley Union School District, California","ACSSF","ca","950","00","0043248",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01890",,,,,,,,,"95000US0601890","Alexander Valley Union School District",,,,355,263,236,27,15,12,92,52,40
"0601950","Alisal Union Elementary School District, California","ACSSF","ca","950","00","0043249",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01950",,,,,,,,,"95000US0601950","Alisal Union Elementary School District",,,,13066,11878,7757,4121,1304,2817,1188,457,731
"0601980","Allensworth Elementary School District, California","ACSSF","ca","950","00","0043250",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01980",,,,,,,,,"95000US0601980","Allensworth Elementary School District",,,,117,97,44,53,16,37,20,16,4
"0602100","Alpine Union Elementary School District, California","ACSSF","ca","950","00","0043251",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02100",,,,,,,,,"95000US0602100","Alpine Union Elementary School District",,,,6822,5166,4222,944,332,612,1656,698,958
"0602160","Alta Loma Elementary School District, California","ACSSF","ca","950","00","0043252",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02160",,,,,,,,,"95000US0602160","Alta Loma Elementary School District",,,,17896,14330,11288,3042,885,2157,3566,1326,2240
"0602220","Alta Vista Elementary School District, California","ACSSF","ca","950","00","0043253",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02220",,,,,,,,,"95000US0602220","Alta Vista Elementary School District",,,,629,418,256,162,58,104,211,130,81
"0602250","Alta-Dutch Flat Union Elementary School District, California","ACSSF","ca","950","00","0043254",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02250",,,,,,,,,"95000US0602250","Alta-Dutch Flat Union Elementary School District",,,,672,479,419,60,5,55,193,118,75
"0602310","Alum Rock Union Elementary School District, California","ACSSF","ca","950","00","0043255",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02310",,,,,,,,,"95000US0602310","Alum Rock Union Elementary School District",,,,28482,22826,15079,7747,2550,5197,5656,2617,3039
"0602360","Alview-Dairyland Union Elementary School District, California","ACSSF","ca","950","00","0043256",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02360",,,,,,,,,"95000US0602360","Alview-Dairyland Union Elementary School District",,,,388,300,236,64,24,40,88,71,17
"0602370","Alvina Elementary School District, California","ACSSF","ca","950","00","0043257",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02370",,,,,,,,,"95000US0602370","Alvina Elementary School District",,,,148,120,80,40,20,20,28,21,7
"0602610","Anaheim Elementary School District, California","ACSSF","ca","950","00","0043258",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02610",,,,,,,,,"95000US0602610","Anaheim Elementary School District",,,,57493,42180,28354,13826,4305,9521,15313,7477,7836
"0602760","Antelope Elementary School District, California","ACSSF","ca","950","00","0043259",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02760",,,,,,,,,"95000US0602760","Antelope Elementary School District",,,,2543,1629,1094,535,151,384,914,546,368
"0603000","Arcata Elementary School District, California","ACSSF","ca","950","00","0043260",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03000",,,,,,,,,"95000US0603000","Arcata Elementary School District",,,,5613,2164,1226,938,290,648,3449,1707,1742
"0603060","Arcohe Union Elementary School District, California","ACSSF","ca","950","00","0043261",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03060",,,,,,,,,"95000US0603060","Arcohe Union Elementary School District",,,,1574,1164,1064,100,10,90,410,161,249
"0603090","Arena Union Elementary School District, California","ACSSF","ca","950","00","0043262",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03090",,,,,,,,,"95000US0603090","Arena Union Elementary School District",,,,1523,913,757,156,14,142,610,300,310
"0603180","Armona Union Elementary School District, California","ACSSF","ca","950","00","0043263",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03180",,,,,,,,,"95000US0603180","Armona Union Elementary School District",,,,2026,1647,1191,456,101,355,379,212,167
"0603270","Arvin Union School District, California","ACSSF","ca","950","00","0043264",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03270",,,,,,,,,"95000US0603270","Arvin Union School District",,,,4495,4093,2875,1218,383,835,402,237,165
"0603420","Atwater Elementary School District, California","ACSSF","ca","950","00","0043265",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03420",,,,,,,,,"95000US0603420","Atwater Elementary School District",,,,11243,8531,5699,2832,726,2106,2712,1146,1566
"0603480","Auburn Union Elementary School District, California","ACSSF","ca","950","00","0043266",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03480",,,,,,,,,"95000US0603480","Auburn Union Elementary School District",,,,13922,8833,6937,1896,669,1227,5089,1929,3160
"0603630","Bakersfield City School District, California","ACSSF","ca","950","00","0043267",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03630",,,,,,,,,"95000US0603630","Bakersfield City School District",,,,59839,43099,23888,19211,5596,13615,16740,8401,8339
"0603720","Ballard Elementary School District, California","ACSSF","ca","950","00","0043268",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03720",,,,,,,,,"95000US0603720","Ballard Elementary School District",,,,594,471,407,64,30,34,123,46,77
"0603750","Ballico-Cressey Elementary School District, California","ACSSF","ca","950","00","0043269",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03750",,,,,,,,,"95000US0603750","Ballico-Cressey Elementary School District",,,,639,487,337,150,103,47,152,101,51
"0603780","Bangor Union Elementary School District, California","ACSSF","ca","950","00","0043270",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03780",,,,,,,,,"95000US0603780","Bangor Union Elementary School District",,,,353,238,184,54,12,42,115,59,56
"0603870","Banta Elementary School District, California","ACSSF","ca","950","00","0043271",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03870",,,,,,,,,"95000US0603870","Banta Elementary School District",,,,1473,1187,847,340,150,190,286,115,171
"0604080","Bass Lake Joint Union Elementary School District, California","ACSSF","ca","950","00","0043272",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04080",,,,,,,,,"95000US0604080","Bass Lake Joint Union Elementary School District",,,,4254,2673,2019,654,222,432,1581,955,626
"0604200","Bayshore Elementary School District, California","ACSSF","ca","950","00","0043273",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04200",,,,,,,,,"95000US0604200","Bayshore Elementary School District",,,,1672,1343,974,369,140,229,329,167,162
"0604260","Beardsley Elementary School District, California","ACSSF","ca","950","00","0043274",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04260",,,,,,,,,"95000US0604260","Beardsley Elementary School District",,,,6237,3475,1948,1527,387,1140,2762,1672,1090
"0604350","Bella Vista Elementary School District, California","ACSSF","ca","950","00","0043275",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04350",,,,,,,,,"95000US0604350","Bella Vista Elementary School District",,,,1385,938,694,244,56,188,447,269,178
"0604380","Bellevue Union School District, California","ACSSF","ca","950","00","0043276",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04380",,,,,,,,,"95000US0604380","Bellevue Union School District",,,,8552,6149,3928,2221,751,1470,2403,1161,1242
"0604500","Belleview Elementary School District, California","ACSSF","ca","950","00","0043277",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04500",,,,,,,,,"95000US0604500","Belleview Elementary School District",,,,773,507,411,96,39,57,266,189,77
"0604530","Belmont-Redwood Shores Elementary School District, California","ACSSF","ca","950","00","0043278",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04530",,,,,,,,,"95000US0604530","Belmont-Redwood Shores Elementary School District",,,,17404,11949,10485,1464,424,1040,5455,2512,2943
"0604560","Belridge Elementary School District, California","ACSSF","ca","950","00","0043279",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04560",,,,,,,,,"95000US0604560","Belridge Elementary School District",,,,24,24,18,6,3,3,0,0,0
"0604650","Bennett Valley Union Elementary School District, California","ACSSF","ca","950","00","0043280",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04650",,,,,,,,,"95000US0604650","Bennett Valley Union Elementary School District",,,,4049,2891,2505,386,94,292,1158,527,631
"0604800","Berryessa Union Elementary School District, California","ACSSF","ca","950","00","0043281",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04800",,,,,,,,,"95000US0604800","Berryessa Union Elementary School District",,,,24910,20263,16187,4076,1303,2773,4647,2601,2046
"0604860","Big Creek Elementary School District, California","ACSSF","ca","950","00","0043282",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04860",,,,,,,,,"95000US0604860","Big Creek Elementary School District",,,,97,76,74,2,0,2,21,10,11
"0604890","Big Lagoon Union Elementary School District, California","ACSSF","ca","950","00","0043283",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04890",,,,,,,,,"95000US0604890","Big Lagoon Union Elementary School District",,,,215,102,65,37,8,29,113,25,88
"0604980","Big Springs Union Elementary School District, California","ACSSF","ca","950","00","0043284",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04980",,,,,,,,,"95000US0604980","Big Springs Union Elementary School District",,,,876,559,457,102,49,53,317,160,157
