FIPS,state,state_fips,county,tract,geoid,area_name,area_land,total_pop,housing_units,owner_occupied_housing_units,persons_no_health_insurance,families,families_income_below_poverty_level,median_household_income,nh_white_alone,nh_black_or_african_american_alone,nh_american_indian_and_alaska_native_alone,nh_asian_alone,nh_native_hawaiian_and_other_pacific_islander_alone,nh_other,nh_two_or_more,hispanic_or_latino,households_receiving_assistance,households,pct_owner_occupied,pct_no_health_insurance,pct_families_income_below_poverty_level,pct_households_receiving_assistance,pct_nh_white_alone,pct_nh_black_or_african_american_alone,pct_nh_american_indian_and_alaska_native_alone,pct_nh_asian_alone,pct_nh_native_hawaiian_and_other_pacific_islander_alone,pct_nh_other,pct_nh_two_or_more,pct_hispanic_or_latino
0600006,ca,06,,,95000US0600006,Ross Valley Elementary School District,12.5485199159224,24211,10287,6656,419,6312,142,136488,19821,285,0,1069,57,125,1013,1841,5204,9610,0.6470302323320696,0.017306183139895088,0.022496831432192648,0.5415192507804371,0.8186774606583784,0.011771508818305729,0.0,0.044153483953574824,0.0023543017636611457,0.005162942464169179,0.04184048572962703,0.07603981661228368
0600012,ca,06,,,95000US0600012,Twin Ridges Elementary School District,289.573344741366,2080,1177,652,111,495,93,50833,1693,43,0,22,0,57,8,257,377,896,0.5539507221750213,0.05336538461538461,0.18787878787878787,0.42075892857142855,0.8139423076923077,0.020673076923076922,0.0,0.010576923076923078,0.0,0.027403846153846154,0.0038461538461538464,0.12355769230769231
0601420,ca,06,,,95000US0601420,Fortuna Elementary School District,29.5980336588432,14980,6077,3282,1682,3628,378,54289,10782,92,255,190,35,31,675,2920,3449,5627,0.5400691130492019,0.112283044058745,0.10418963616317531,0.6129376221787809,0.7197596795727637,0.006141522029372497,0.017022696929238985,0.012683578104138851,0.002336448598130841,0.0020694259012016022,0.04506008010680908,0.19492656875834447
0601427,ca,06,,,95000US0601427,Penn Valley Union Elementary School District,82.5268317845488,11867,5808,3945,494,3297,135,72041,10152,9,81,96,0,0,370,1159,1916,4824,0.6792355371900827,0.041628044156063033,0.04094631483166515,0.39718076285240467,0.855481587595854,0.000758405662762282,0.006825650964860538,0.008089660402797674,0.0,0.0,0.031178899469116037,0.09766579590460941
0601680,ca,06,,,95000US0601680,Ackerman Elementary School District,4.36647698753817,3619,1464,991,138,963,79,83289,2732,18,47,136,0,6,119,561,672,1400,0.6769125683060109,0.03813208068527218,0.08203530633437175,0.48,0.7549046697982869,0.004973749654600719,0.012987012987012988,0.03757944183476098,0.0,0.0016579165515335729,0.03288201160541586,0.15501519756838905
0601710,ca,06,,,95000US0601710,Adelanto Elementary School District,335.479620755,59965,14603,8433,5426,11539,1651,67836,9067,9808,183,2456,295,51,1969,36136,17927,13664,0.5774840786139834,0.09048611690152589,0.14307998960048532,1.3119877049180328,0.15120486950721254,0.16356207787876262,0.003051780205119653,0.040957225047944634,0.004919536396231135,0.000850496122738264,0.03283582089552239,0.6026181939464688
0601890,ca,06,,,95000US0601890,Alexander Valley Union School District,66.6616030653424,1071,452,196,26,263,30,120417,609,3,0,8,0,66,25,360,164,355,0.4336283185840708,0.02427637721755369,0.11406844106463879,0.4619718309859155,0.5686274509803921,0.0028011204481792717,0.0,0.007469654528478058,0.0,0.06162464985994398,0.02334267040149393,0.33613445378151263
0601950,ca,06,,,95000US0601950,Alisal Union Elementary School District,64.0092170311214,59968,13387,6527,8544,11878,1515,79144,3097,260,38,2984,9,0,419,53161,19966,13066,0.48756256069320986,0.1424759871931697,0.12754672503788517,1.5280881677636615,0.05164421024546425,0.004335645677694771,0.0006336712913553895,0.049759871931696904,0.00015008004268943437,0.0,0.006987059765208111,0.8864894610458911
0601980,ca,06,,,95000US0601980,Allensworth Elementary School District,20.2339068752442,533,128,40,75,97,27,48906,0,20,0,4,0,0,0,509,198,117,0.3125,0.14071294559099437,0.27835051546391754,1.6923076923076923,0.0,0.0375234521575985,0.0,0.0075046904315197,0.0,0.0,0.0,0.9549718574108818
0602100,ca,06,,,95000US0602100,Alpine Union Elementary School District,94.8027681981538,19947,7086,5111,968,5166,351,103550,15135,199,193,530,81,31,649,3129,4401,6822,0.7212813999435507,0.048528600792099065,0.06794425087108014,0.6451187335092349,0.7587607158971273,0.009976437559532762,0.00967564044718504,0.026570411590715395,0.00406076101669424,0.001554118413796561,0.032536220985611874,0.15686569408933673
0602160,ca,06,,,95000US0602160,Alta Loma Elementary School District,24.7771680795432,53349,18631,13361,1895,14330,721,102250,23791,3153,34,5328,31,151,2251,18610,11161,17896,0.7171381031613977,0.03552081576037039,0.05031402651779483,0.6236589181940099,0.4459502521134417,0.05910138896699094,0.0006373127893681231,0.09987066299274588,0.0005810793079532887,0.0028304185645466645,0.042193855554930736,0.34883502971002267
0602220,ca,06,,,95000US0602220,Alta Vista Elementary School District,5.95834961397505,2319,688,326,194,418,118,31713,642,0,7,71,88,0,27,1484,790,629,0.4738372093023256,0.08365674859853385,0.2822966507177033,1.2559618441971383,0.276843467011643,0.0,0.00301854247520483,0.030616645105648987,0.03794739111686071,0.0,0.01164294954721863,0.6399310047434239
0602250,ca,06,,,95000US0602250,Alta-Dutch Flat Union Elementary School District,105.592717804098,1748,1179,547,100,479,38,81452,1556,5,16,18,0,0,46,107,205,672,0.46395250212044103,0.057208237986270026,0.07933194154488518,0.30505952380952384,0.8901601830663616,0.002860411899313501,0.009153318077803204,0.010297482837528604,0.0,0.0,0.02631578947368421,0.06121281464530892
0602310,ca,06,,,95000US0602310,Alum Rock Union Elementary School District,51.983147412266,113932,29844,15087,7608,22826,2039,90521,8335,1828,136,36927,887,322,1998,63499,26329,28482,0.5055287494973865,0.0667766738054278,0.08932795934460702,0.9244083982866371,0.0731576729979286,0.01604465821718218,0.0011936944844293087,0.32411438401853737,0.007785345644770565,0.002826247235192922,0.017536776322718814,0.5573412210792402
0602360,ca,06,,,95000US0602360,Alview-Dairyland Union Elementary School District,116.532085862946,1312,464,138,183,300,22,57857,589,0,13,26,0,14,17,653,315,388,0.2974137931034483,0.13948170731707318,0.07333333333333333,0.8118556701030928,0.4489329268292683,0.0,0.009908536585365854,0.019817073170731708,0.0,0.010670731707317074,0.012957317073170731,0.49771341463414637
0602370,ca,06,,,95000US0602370,Alvina Elementary School District,6.99001539775474,569,155,75,54,120,15,63500,182,0,0,34,0,0,7,346,162,148,0.4838709677419355,0.09490333919156414,0.125,1.0945945945945945,0.31985940246045697,0.0,0.0,0.05975395430579965,0.0,0.0,0.012302284710017574,0.6080843585237259
0602610,ca,06,,,95000US0602610,Anaheim Elementary School District,21.094191942202,204720,61009,24243,26350,42180,4897,75323,31922,4214,197,30679,652,512,3270,133274,49331,57493,0.3973676015014178,0.12871238765142634,0.11609767662399241,0.8580348912041466,0.15593005080109418,0.02058421258304025,0.0009622899570144587,0.14985834310277452,0.00318483782727628,0.0025009769441187964,0.01597303634232122,0.6510062524423603
