FIPS,state,state_fips,county,tract,geoid,area_name,area_land,total_pop,housing_units,owner_occupied_housing_units,persons_no_health_insurance,families,families_income_below_poverty_level,median_household_income,nh_white_alone,nh_black_or_african_american_alone,nh_american_indian_and_alaska_native_alone,nh_asian_alone,nh_native_hawaiian_and_other_pacific_islander_alone,nh_other,nh_two_or_more,hispanic_or_latino,households_receiving_assistance,households,pct_owner_occupied,pct_no_health_insurance,pct_families_income_below_poverty_level,pct_households_receiving_assistance,pct_nh_white_alone,pct_nh_black_or_african_american_alone,pct_nh_american_indian_and_alaska_native_alone,pct_nh_asian_alone,pct_nh_native_hawaiian_and_other_pacific_islander_alone,pct_nh_other,pct_nh_two_or_more,pct_hispanic_or_latino
06001400100,ca,06,001,400100,14000US06001400100,Census Tract 4001,2.6818101087727,3324,1478,1174,6,828,0,224821,2333,104,0,478,0,17,142,250,699,1337,0.7943166441136671,0.0018050541516245488,0.0,0.5228122662677637,0.7018652226233454,0.031287605294825514,0.0,0.14380264741275572,0.0,0.005114320096269555,0.04271961492178099,0.07521058965102287
06001400200,ca,06,001,400200,14000US06001400200,Census Tract 4002,0.226472091762587,2038,908,493,9,500,0,201154,1446,48,0,197,0,7,188,152,356,868,0.5429515418502202,0.004416094210009814,0.0,0.41013824884792627,0.7095191364082434,0.023552502453385672,0.0,0.09666339548577037,0.0,0.0034347399411187437,0.09224730127576054,0.0745829244357213
06001400300,ca,06,001,400300,14000US06001400300,Census Tract 4003,0.428897740066749,5449,2779,971,30,1145,0,127333,3257,530,22,640,0,70,385,545,898,2548,0.3494062612450522,0.0055055973573132685,0.0,0.35243328100470955,0.5977243530923105,0.0972655533125344,0.00403743806202973,0.11745274362268306,0.0,0.01284639383373096,0.07065516608552028,0.10001835199119104
06001400400,ca,06,001,400400,14000US06001400400,Census Tract 4004,0.276502439393542,4384,1986,874,69,815,55,146265,2907,343,22,356,0,7,333,416,944,1826,0.44008056394763345,0.015739051094890513,0.06748466257668712,0.5169769989047097,0.6630930656934306,0.07823905109489052,0.005018248175182482,0.0812043795620438,0.0,0.0015967153284671533,0.07595802919708029,0.0948905109489051
06001400500,ca,06,001,400500,14000US06001400500,Census Tract 4005,0.228350092741742,4048,1791,797,140,876,13,101597,1772,1042,0,417,4,0,329,484,470,1673,0.44500279173646007,0.03458498023715415,0.014840182648401826,0.28093245666467426,0.43774703557312256,0.2574110671936759,0.0,0.10301383399209486,0.0009881422924901185,0.0,0.08127470355731226,0.11956521739130435
06001400600,ca,06,001,400600,14000US06001400600,Census Tract 4006,0.115002849434051,1957,804,291,65,381,21,153527,823,524,6,145,10,54,248,147,327,741,0.3619402985074627,0.03321410321921308,0.05511811023622047,0.44129554655870445,0.42054164537557487,0.2677567705671947,0.0030659172202350538,0.0740929994890138,0.005109862033725089,0.027593254982115484,0.1267245784363822,0.07511497189575882
06001400700,ca,06,001,400700,14000US06001400700,Census Tract 4007,0.334268730202611,5150,2165,729,357,934,96,105466,2189,1241,68,436,0,0,408,808,991,2027,0.33672055427251735,0.06932038834951457,0.10278372591006424,0.48889985199802666,0.4250485436893204,0.24097087378640777,0.01320388349514563,0.08466019417475729,0.0,0.0,0.07922330097087378,0.15689320388349515
06001400800,ca,06,001,400800,14000US06001400800,Census Tract 4008,0.280239522345277,4042,1920,654,191,886,12,84207,2040,737,0,660,8,0,347,250,662,1799,0.340625,0.04725383473527957,0.013544018058690745,0.367982212340189,0.5047006432459179,0.18233547748639287,0.0,0.16328550222662047,0.0019792182088075212,0.0,0.08584858980702623,0.06185056902523503
06001400900,ca,06,001,400900,14000US06001400900,Census Tract 4009,0.157426598115513,3056,1246,414,187,636,11,97125,1092,926,55,126,0,0,305,552,539,1125,0.33226324237560195,0.06119109947643979,0.01729559748427673,0.4791111111111111,0.35732984293193715,0.3030104712041885,0.01799738219895288,0.0412303664921466,0.0,0.0,0.09980366492146597,0.1806282722513089
06001401000,ca,06,001,401000,14000US06001401000,Census Tract 4010,0.443631399064397,6185,2580,921,429,1127,29,128200,2084,1397,0,424,89,0,714,1477,882,2286,0.3569767441860465,0.06936135812449475,0.025732031943212066,0.3858267716535433,0.33694421988682294,0.22586903799514957,0.0,0.06855295068714633,0.01438965238480194,0.0,0.11544058205335489,0.23880355699272432
